X Default0000;Y Default0000;X Default0001;Y Default0001;X Default0002;Y Default0002;X Default0003;Y Default0003
0.000000000000 ;;0.000000000000 ; ;0.000000000000 ;0.000103152562029;0.000000000000 ;0.00106875820185
0.0000499961330240; ;0.000049990639864; ;0.00005;0.000103762932218;0.0000500100626049;0.00105899227882
0.0000999922660480;0.00120303964354;0.0000999812797281; ;0.000100000000000 ;0.0000949125644704;0.000100020125210 ;0.00105868709372
0.000149988399072 ;0.00119632557146;0.000149971919592 ; ;0.000150000000000 ;0.0000900296029542;0.000150030187815 ;0.00106570635090
0.000199984532096 ;0.00119907223731;0.000199962559456 ; ;0.000200000000000 ;0.0000946073793756;0.000200040250420 ;0.00106234931486
0.000249980665120 ;0.00120059816279;0.000249953199320 ; ;0.000250000000000 ;0.000102847376934;0.000250050313024 ;0.00108432264168
0.000299976798144 ;0.00119785149693;0.000299943839184 ; ;0.000300000000000 ;0.000101321451460;0.000300060375629 ;0.00107425153356
0.000349972931168 ;0.00119876705222;0.000349934479048 ; ;0.000350000000000 ;0.000100405896176;0.000350070438234 ;0.00107455671865
0.000399969064192 ;0.00119327372051;0.000399925118912 ; ;0.000400000000000 ;0.0000909451582385;0.000400080500839 ;0.00107821893979
0.000449965197216 ;0.00118900112918;0.000449915758776 ; ;0.000450000000000 ;0.000123599963378;0.000450090563444 ;0.00107394634846
0.000499961330240 ;0.00118930631428;0.000499906398640 ; ;0.000500000000000 ;0.000130924405652;0.000500100626049 ;0.00107455671865
0.000549957463264 ;0.00119174779504;0.000549897038504 ; ;0.000550000000000 ;0.00007629627369;0.000550110688654 ;0.00108127079073
0.000599953596288 ;0.00119113742485;0.000599887678368 ; ;0.000600000000000 ;0.000146488845485;0.000600120751259 ;0.00107272560808
0.000649949729312 ;0.00119541001617;0.000649878318233 ; ;0.000650000000000 ;0.000180669576098;0.000650130813864 ;0.00106997894223
0.000699945862336 ;0.00119815668203;0.000699868958097 ; ;0.000700000000000 ;0.000193792535173;0.000700140876469 ;0.00107516708884
0.000749941995360 ;0.00119052705466;0.000749859597961 ; ;0.000750000000000 ;0.000222479934080;0.000750150939073 ;0.00107028412732
0.000799938128384 ;0.00119205298013;0.000799850237825 ; ;0.000800000000000 ;0.000183721427046;0.000800161001678 ;0.00107211523789
